epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,62.0331,1.34055,1.36239,1.12044,0.84258,0.02333,0.875,0.29944,0.21444,0.02,0.75,0.30316,0.2039,1.06708,1.12168,2.93851,0.82232,0.0004218,0.0004218,0.0004218
32,67.7252,1.53874,2.04333,1.73148,0.89079,0.02333,0.875,0.29944,0.21444,0.02,0.75,0.30316,0.2039,1.06708,1.12168,2.93851,0.82232,0.000429722,0.000429722,0.000429722
33,69.3382,0.86776,0.84688,0.91316,0.85413,0.02333,0.875,0.29944,0.21444,0.02,0.75,0.30316,0.2039,1.06708,1.12168,2.93851,0.82232,0.000437248,0.000437248,0.000437248
34,70.8602,0.76788,0.68578,0.92714,0.77604,0.02667,1,0.29988,0.22728,0.02333,0.875,0.30614,0.20277,0.97403,1.02774,2.84419,0.82222,0.000444378,0.000444378,0.000444378
35,72.2698,0.9773,1.37584,1.31305,0.85905,0.02667,1,0.29988,0.22728,0.02333,0.875,0.30614,0.20277,0.97403,1.02774,2.84419,0.82222,0.000451112,0.000451112,0.000451112
36,73.7485,1.11437,1.22019,1.08277,0.83728,0.02667,1,0.29988,0.22728,0.02333,0.875,0.30614,0.20277,0.97403,1.02774,2.84419,0.82222,0.00045745,0.00045745,0.00045745
37,75.2562,1.17532,1.16182,1.18701,0.82454,0.02667,1,0.29988,0.22728,0.02333,0.875,0.30614,0.20277,0.97403,1.02774,2.84419,0.82222,0.000463392,0.000463392,0.000463392
38,76.9669,0.6401,1.16521,1.16478,0.7718,0.02667,1,0.31768,0.23901,0.02667,1,0.32223,0.20194,0.94859,0.8284,2.77204,0.80546,0.000468938,0.000468938,0.000468938
39,78.5549,0.96383,1.03831,0.93828,0.92133,0.02667,1,0.31768,0.23901,0.02667,1,0.32223,0.20194,0.94859,0.8284,2.77204,0.80546,0.000474088,0.000474088,0.000474088
40,80.3943,1.02129,0.70887,0.94756,0.92193,0.02667,1,0.31768,0.23901,0.02667,1,0.32223,0.20194,0.94859,0.8284,2.77204,0.80546,0.000478842,0.000478842,0.000478842
